dataset,method,n_paired_seeds,Recall@20_on_mean,Recall@20_off_mean,Recall@20_delta_mean,Recall@20_delta_std,Recall@20_delta_pct,Recall@20_t_stat,Recall@20_p_value,NDCG@20_on_mean,NDCG@20_off_mean,NDCG@20_delta_mean,NDCG@20_delta_std,NDCG@20_delta_pct,NDCG@20_t_stat,NDCG@20_p_value
ml-1m,DeepFM,5,0.04417796287022352,0.046525608744384474,-0.00234764587416096,0.0028315732577652497,-5.045921885856711,-1.8539148677593673,0.13736503732027683,0.03292460341703972,0.03443047697480676,-0.0015058735577670374,0.0014840896941621055,-4.373664526544043,-2.268889578528906,0.08583286360042479
ml-1m,WideDeep,5,0.03954257543366094,0.04703914220168086,-0.007496566768019919,0.0033369416377961253,-15.936869630569161,-5.023412067293274,0.0073676091956456115,0.02899694198856978,0.034614933757437016,-0.005617991768867238,0.0034435265955598694,-16.229965390762054,-3.648065767350053,0.021808676711246443
kuairec,DeepFM,5,0.06566855627837316,0.06150049415527764,0.004168062123095522,0.02035725797583058,6.777282329751559,0.4578254228908951,0.6708438792928597,0.05093968753973538,0.04564312895564014,0.00529655858409524,0.01838877955294704,11.604284599425434,0.6440593301336806,0.5546089827489231
kuairec,WideDeep,5,0.07010815576491444,0.05636415670112179,0.01374399906379264,0.015286841226474153,24.384289357280668,2.0103902260795667,0.11474786826195157,0.052730338621839026,0.04133693351470806,0.011393405107130961,0.011630616524598531,27.562289067903606,2.1904624110730455,0.09364372845397814
